qpc,native_working_set_bytes,wrapper_working_set_bytes,aggregate_working_set_bytes
1479861597087,13910016,81674240,95584256
1479861751803,23752704,81674240,105426944
1479861907573,35942400,81674240,117616640
1479862068128,39067648,81674240,120741888
1479862224764,208482304,81674240,290156544
1479862379900,283582464,81674240,365256704
1479862534065,283582464,81674240,365256704
1479862689373,283607040,81674240,365281280
1479862845435,284127232,81674240,365801472
1479862999749,284127232,81674240,365801472
1479863155518,284127232,81674240,365801472
1479863309750,284127232,81674240,365801472
1479863469621,284127232,81674240,365801472
1479863624721,281829376,81674240,363503616
1479863669728,282259456,81674240,363933696
1479863670640,282267648,81678336,363945984
1479863671277,282267648,81678336,363945984
1479863781246,282267648,81674240,363941888
1479863934366,282267648,81674240,363941888
1479864088623,282267648,81674240,363941888
1479864244439,282267648,81674240,363941888
1479864398427,282267648,81674240,363941888
1479864555284,282267648,81674240,363941888
1479864705097,282267648,81674240,363941888
1479864866701,282267648,81674240,363941888
1479865020276,282267648,81674240,363941888
1479865176195,282267648,81674240,363941888
1479865331227,282267648,81674240,363941888
1479865484969,282267648,81674240,363941888
1479865641435,282267648,81674240,363941888
1479865792916,282267648,81674240,363941888
1479865948221,282267648,81674240,363941888
1479866103807,282267648,81674240,363941888
1479866257906,282267648,81674240,363941888
1479866413234,282267648,81674240,363941888
1479866568427,282267648,81674240,363941888
1479866723754,282267648,81674240,363941888
1479866879937,282267648,81674240,363941888
1479867033926,282267648,81674240,363941888
1479867191026,282267648,81674240,363941888
1479867346139,282267648,81674240,363941888
1479867500724,282267648,81674240,363941888
1479867656789,282267648,81674240,363941888
1479867811184,282267648,81674240,363941888
1479867966155,282267648,81674240,363941888
1479868123208,282267648,81674240,363941888
1479868277116,282267648,81674240,363941888
1479868432928,282267648,81674240,363941888
1479868589083,282267648,81674240,363941888
1479868743424,282267648,81674240,363941888
1479868898439,282267648,81674240,363941888
1479869055255,282267648,81674240,363941888
1479869208700,282267648,81674240,363941888
1479869369402,282267648,81674240,363941888
1479869525448,282267648,81674240,363941888
1479869680287,282267648,81674240,363941888
1479869835292,282267648,81674240,363941888
1479869989772,282267648,81674240,363941888
1479870146990,282267648,81674240,363941888
1479870302020,282267648,81674240,363941888
1479870456037,282267648,81674240,363941888
1479870611649,282267648,81674240,363941888
1479870768180,282267648,81674240,363941888
1479870933437,282267648,81674240,363941888
1479871078814,282267648,81674240,363941888
1479871232756,282267648,81674240,363941888
1479871386867,282267648,81674240,363941888
1479871543105,282267648,81674240,363941888
1479871698724,282267648,81674240,363941888
1479871853330,282267648,81674240,363941888
1479872009583,282267648,81674240,363941888
1479872169708,282267648,81674240,363941888
1479872325249,282267648,81674240,363941888
1479872479049,282267648,81674240,363941888
1479872635295,282267648,81674240,363941888
1479872790402,282267648,81674240,363941888
1479872945175,282267648,81674240,363941888
1479873100668,282267648,81674240,363941888
1479873259617,282267648,81674240,363941888
1479873410872,282267648,81674240,363941888
1479873567466,282267648,81674240,363941888
1479873720882,282267648,81674240,363941888
1479873873551,282267648,81674240,363941888
1479874027862,282267648,81674240,363941888
1479874182983,282353664,81674240,364027904
1479874338040,294711296,81674240,376385536
1479874493737,298471424,81674240,380145664
1479874539285,298614784,81678336,380293120
1479874649635,298614784,81674240,380289024
1479874804998,298614784,81674240,380289024
1479874957030,298614784,81674240,380289024
1479875113105,298614784,81674240,380289024
1479875269852,298614784,81674240,380289024
1479875425369,298614784,81674240,380289024
1479875578701,298614784,81674240,380289024
1479875733640,298614784,81674240,380289024
1479875887318,298614784,81674240,380289024
1479876042941,298614784,81674240,380289024
1479876198502,298614784,81674240,380289024
1479876353672,298614784,81674240,380289024
1479876507727,298614784,81674240,380289024
1479876667346,298614784,81674240,380289024
1479876822844,298614784,81674240,380289024
1479876979476,298614784,81674240,380289024
1479877130381,298614784,81674240,380289024
1479877285297,298614784,81674240,380289024
1479877441552,298614784,81674240,380289024
1479877596950,298614784,81674240,380289024
1479877752799,298614784,81674240,380289024
1479877906593,298614784,81674240,380289024
1479878067466,298614784,81674240,380289024
1479878227585,298614784,81674240,380289024
1479878379937,298614784,81674240,380289024
1479878536077,298614784,81674240,380289024
1479878688271,298614784,81674240,380289024
1479878842916,298614784,81674240,380289024
1479878997861,297365504,81674240,379039744
1479879153644,298905600,81674240,380579840
1479879308638,298946560,81674240,380620800
1479879311983,298946560,81678336,380624896
1479879469618,298946560,81674240,380620800
1479879619568,298946560,81674240,380620800
1479879775936,298946560,81674240,380620800
1479879931261,298946560,81674240,380620800
1479880082613,298946560,81674240,380620800
1479880237834,298946560,81674240,380620800
1479880394119,298946560,81674240,380620800
1479880554569,298946560,81674240,380620800
1479880704459,298946560,81674240,380620800
1479880859248,298946560,81674240,380620800
1479881012774,298946560,81674240,380620800
1479881167705,298946560,81674240,380620800
1479881323119,298946560,81674240,380620800
1479881478850,298946560,81674240,380620800
1479881632769,298946560,81674240,380620800
