qpc,native_working_set_bytes,wrapper_working_set_bytes,aggregate_working_set_bytes
1477815793395,21405696,79904768,101310464
1477815936591,31334400,79904768,111239168
1477816091621,37425152,79904768,117329920
1477816246991,46845952,79904768,126750720
1477816403108,49143808,79904768,129048576
1477816558609,133505024,79904768,213409792
1477816713458,213196800,79904768,293101568
1477816868616,288456704,79904768,368361472
1477817026430,292970496,79904768,372875264
1477817181181,293490688,79904768,373395456
1477817335987,293490688,79904768,373395456
1477817491030,293490688,79904768,373395456
1477817646341,293490688,79904768,373395456
1477817802752,293490688,79904768,373395456
1477817957331,293490688,79904768,373395456
1477818112903,293490688,79904768,373395456
1477818266776,293490688,79904768,373395456
1477818396220,291725312,79908864,371634176
1477818397214,291733504,79912960,371646464
1477818397879,291733504,79912960,371646464
1477818581551,291733504,79908864,371642368
1477818737182,291733504,79908864,371642368
1477818892095,291733504,79908864,371642368
1477819046379,291733504,79908864,371642368
1477819203007,291733504,79908864,371642368
1477819357132,291733504,79908864,371642368
1477819510983,291733504,79908864,371642368
1477819665476,291733504,79908864,371642368
1477819825806,291733504,79908864,371642368
1477819981034,291733504,79908864,371642368
1477820138036,291733504,79908864,371642368
1477820292631,291733504,79908864,371642368
1477820446107,291733504,79908864,371642368
1477820607679,291733504,79908864,371642368
1477820761363,291733504,79908864,371642368
1477820917519,291733504,79908864,371642368
1477821072529,291733504,79908864,371642368
1477821227257,291733504,79908864,371642368
1477821385296,291733504,79908864,371642368
1477821538319,291733504,79908864,371642368
1477821693845,291733504,79908864,371642368
1477821848654,291733504,79908864,371642368
1477822003213,291733504,79908864,371642368
1477822160559,291733504,79908864,371642368
1477822315026,291733504,79908864,371642368
1477822469986,291733504,79908864,371642368
1477822624983,291733504,79908864,371642368
1477822779807,291733504,79908864,371642368
1477822935565,291733504,79908864,371642368
1477823091239,291733504,79908864,371642368
1477823245775,291733504,79908864,371642368
1477823401127,291733504,79908864,371642368
1477823557255,291733504,79908864,371642368
1477823711807,291733504,79908864,371642368
1477823866439,291733504,79908864,371642368
1477824026845,291733504,79908864,371642368
1477824182435,291733504,79908864,371642368
1477824337804,291733504,79908864,371642368
1477824493945,291733504,79908864,371642368
1477824649699,291733504,79908864,371642368
1477824801083,291733504,79908864,371642368
1477824955522,291733504,79908864,371642368
1477825111623,291733504,79908864,371642368
1477825263710,291733504,79908864,371642368
1477825416342,291733504,79908864,371642368
1477825572109,291733504,79908864,371642368
1477825727033,291733504,79908864,371642368
1477825882546,291733504,79908864,371642368
1477826038112,291733504,79908864,371642368
1477826192189,291733504,79908864,371642368
1477826348073,291733504,79908864,371642368
1477826504448,291733504,79908864,371642368
1477826656449,291733504,79908864,371642368
1477826813105,291733504,79912960,371646464
1477826968159,291733504,79912960,371646464
1477827126211,291733504,79912960,371646464
1477827281453,291733504,79912960,371646464
1477827437139,291733504,79912960,371646464
1477827593801,291733504,79912960,371646464
1477827746603,291733504,79912960,371646464
1477827901680,291733504,79912960,371646464
1477828058552,291733504,79912960,371646464
1477828211814,291733504,79912960,371646464
1477828367638,291733504,79912960,371646464
1477828527607,291733504,79912960,371646464
1477828683890,291733504,79912960,371646464
1477828838470,291733504,79912960,371646464
1477828994735,298143744,79912960,378056704
1477829149692,307261440,79912960,387174400
1477829273860,308051968,79917056,387969024
1477829458386,308051968,79912960,387964928
1477829613067,308051968,79912960,387964928
1477829772884,308051968,79912960,387964928
1477829928452,308051968,79912960,387964928
1477830083531,308051968,79912960,387964928
1477830237803,308051968,79912960,387964928
