"(PDH-CSV 4.0) (","\\DESKTOP-2OFVR87\GPU Process Memory(pid_35144_luid_0x00000000_0x00010324_phys_0)\Dedicated Usage"
"09/14/2026 16:55:50.931","105533440"
"09/14/2026 16:55:51.939","145047552"
"09/14/2026 16:55:52.947","145309696"
"09/14/2026 16:55:53.957","145309696"
"09/14/2026 16:55:54.965","145309696"
"09/14/2026 16:55:55.974","145653760"
"09/14/2026 16:55:56.983","145752064"
"09/14/2026 16:55:57.995","145850368"
"09/14/2026 16:55:59.005","145948672"
"09/14/2026 16:56:00.012","146046976"
"09/14/2026 16:56:01.021","146407424"
"09/14/2026 16:56:02.031","146505728"
"09/14/2026 16:56:03.039","146653184"
"09/14/2026 16:56:04.048","146878464"
"09/14/2026 16:56:05.056","147787776"
"09/14/2026 16:56:06.065","148635648"
"09/14/2026 16:56:07.074","149520384"
"09/14/2026 16:56:08.082","150441984"
"09/14/2026 16:56:09.092","151400448"
"09/14/2026 16:56:10.099","152395776"
"09/14/2026 16:56:11.107","153448448"
"09/14/2026 16:56:12.113","154517504"
"09/14/2026 16:56:13.125","156319744"
"09/14/2026 16:56:14.133","157483008"
"09/14/2026 16:56:15.145","158679040"
"09/14/2026 16:56:16.153","159916032"
"09/14/2026 16:56:17.164","161185792"
"09/14/2026 16:56:18.172","161837056"
"09/14/2026 16:56:19.183","161849344"
"09/14/2026 16:56:20.192","161849344"
"09/14/2026 16:56:21.202","161849344"
"09/14/2026 16:56:22.210","161849344"
"09/14/2026 16:56:23.220","161849344"
"09/14/2026 16:56:24.226","161849344"
"09/14/2026 16:56:25.237","161849344"
"09/14/2026 16:56:26.247","162729984"
"09/14/2026 16:56:27.257","164081664"
"09/14/2026 16:56:28.265","165470208"
"09/14/2026 16:56:29.273","167706624"
"09/14/2026 16:56:30.284","167706624"
"09/14/2026 16:56:31.296","167706624"
"09/14/2026 16:56:32.309","167706624"
"09/14/2026 16:56:33.317","167706624"
"09/14/2026 16:56:34.325","167706624"
"09/14/2026 16:56:35.335","167706624"
"09/14/2026 16:56:36.343","167706624"
"09/14/2026 16:56:37.354","167706624"
"09/14/2026 16:56:38.363","167706624"
